"workerID","rate_cookies","mean","cookies01","cookies02","cookies03","cookies04","cookies05","cookies06","cookies07","cookies08","cookies09","cookies10","cookies11","cookies12","cookies13","cookies14","cookies15","cookies16","cookies17","cookies18","cookies19","cookies20","cookies21","cookies22","cookies23","cookies24","cookies25","cookies26","cookies27","cookies28","cookies29","cookies30","cookies31","cookies32","cookies33","cookies34","cookies35","cookies36","cookies37","cookies38","cookies39","cookies40","cookies41","cookies42","cookies43","cookies44","cookies45","cookies46","cookies47","cookies48","cookies49","cookies50","cookies51","cookies52","cookies53","cookies54","cookies55","cookies56","cookies57","cookies58","cookies59","cookies60","cookies61","cookies62","cookies63","cookies64","cookies65","cookies66","cookies67","cookies68","cookies69","cookies70"
"A18",5,3.38571428571429,2,3,4,5,5,5,4,5,5,4,4,5,4,4,4,5,5,3,2,3,4,4,5,1,4,2,1,5,5,1,2,2,4,1,2,4,1,4,1,1,4,5,1,4,4,2,3,3,1,2,2,5,3,4,4,4,1,5,4,5,4,5,3,1,5,4,2,4,5,3
"A76",5,3.62857142857143,5,3,3,5,5,3,3,5,3,4,5,3,3,3,4,4,3,3,4,4,4,3,4,3,3,4,3,3,4,3,3,2,3,3,4,3,3,3,4,5,5,3,3,4,4,4,4,4,4,3,2,5,3,3,5,3,3,4,3,4,5,4,3,3,5,5,5,3,3,3
"A113",4,3.81159420289855,4,5,4,5,4,4,4,5,4,4,3,3,4,3,5,4,5,4,4,4,4,5,3,4,5,3,NA,3,4,3,3,3,4,4,4,4,3,3,4,2,4,4,4,3,3,4,4,2,5,2,3,3,5,4,4,4,4,5,4,5,4,4,3,3,4,3,4,4,5,3
"A114",5,4.82857142857143,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,5,5,5,5,5,5,3,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,3
"A128",NA,2.62857142857143,4,1,3,1,2,5,2,4,3,1,1,4,1,5,3,4,2,1,2,4,1,1,3,3,4,1,1,3,5,1,1,1,4,1,3,5,1,2,1,1,2,5,4,1,4,5,3,3,4,2,3,3,1,2,4,4,2,1,1,5,4,2,4,3,4,3,2,2,4,1
"A141",5,3.01428571428571,3,5,2,5,5,4,5,5,5,5,5,4,5,3,4,5,4,5,2,1,1,4,5,1,2,3,3,5,4,1,5,2,1,4,4,1,2,1,1,4,5,3,2,1,5,5,3,5,4,1,1,4,1,3,1,1,1,5,2,1,1,1,2,3,5,1,2,1,4,1
"A157",5,4.14285714285714,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,2,5,5,3,5,4,4,5,5,2,3,3,3,2,3,2,2,3,4,2,5,5,5,2,5,5,4,3,5,2,1,5,4,4,5,5,4,5,4,5,5,5,5,3,5,5,5,5,4,2
"A165",5,4.38571428571429,2,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,3,4,5,5,5,5,4,5,5,4,5,5,5,5,4,3,5,4,5,3,3,3,5,3,5,4,4,4,5,3,4,5,4,2,5,5,5,3,5,5,3,5,2,5,5,4,4,5,4,5,5,5,5,4
"A250",5,4.2463768115942,5,5,4,5,4,5,4,4,4,4,5,NA,4,4,3,4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,5,2,5,4,4,4,2,5,4,4,4,4,5,4,5,4,5,4,4,4,4,4,5,4,5,5,5,5,3,4,5,4,3,5,5,5,4,5,5,4
"A265",5,3.12857142857143,5,3,5,1,5,5,1,5,5,1,1,4,1,5,5,5,5,1,5,5,1,5,3,5,5,1,1,2,4,1,1,1,1,2,1,5,1,1,1,1,5,5,5,1,5,5,4,1,4,1,5,4,1,4,5,5,1,1,1,5,1,4,5,5,5,1,3,5,5,1
"A304",5,4.01428571428571,4,5,5,4,4,4,3,4,4,3,4,4,4,4,3,3,3,5,5,4,3,4,5,4,4,4,4,4,5,3,4,5,3,4,4,3,4,5,4,3,4,4,5,5,5,2,5,4,4,5,4,4,5,5,3,5,4,3,4,4,4,3,3,5,4,3,5,4,4,4
"A327",5,3.24285714285714,4,2,5,4,4,4,4,4,3,3,3,4,2,4,4,4,3,3,1,4,3,3,4,1,4,3,3,2,4,4,4,4,4,2,4,4,4,2,2,3,4,4,3,3,5,4,2,2,4,3,2,4,3,2,1,4,2,4,4,2,5,2,2,3,3,3,3,4,2,5
"A335",5,4.08571428571429,5,4,4,5,5,4,5,4,5,4,4,4,5,4,4,5,2,4,4,4,4,5,4,3,4,3,4,2,3,4,5,3,3,2,4,5,2,2,4,3,5,5,4,4,5,5,4,5,5,5,3,5,5,3,5,4,4,5,5,5,5,3,5,4,5,5,3,4,3,4
"A357",5,3.61428571428571,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,4,5,4,4,4,2,4,3,3,3,4,4,4,3,4,4,3,2,2,3,2,4,3,4,4,5,3,4,2,5,4,3,4,3,3,2,4,5,4,2,3,5,5,3,4,5,3,4,3,4,5,4,3,2,4
"A359",5,4.21428571428571,4,4,4,5,5,4,5,5,5,5,5,5,3,5,5,5,5,4,5,5,4,5,5,4,5,4,4,4,5,4,3,3,3,5,4,3,3,3,3,3,5,5,4,4,3,3,4,4,5,3,3,5,4,4,4,4,4,5,5,4,4,5,4,4,5,4,5,5,4,3
"A361",5,4.58571428571429,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,3,5,4,3,5,3,5,3,3,4,5,5,5,3,5,5,4,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,4,5,5,3,5,5,5,5,5
"A373",4,2.18571428571429,3,3,4,5,5,3,4,4,5,3,2,1,1,3,2,3,1,1,3,3,1,4,2,3,3,2,1,1,4,5,1,1,1,1,1,1,1,1,1,1,5,2,3,1,1,4,1,2,1,1,1,5,1,1,1,3,2,3,1,1,1,2,1,1,5,1,4,1,1,1
"A390",5,3.7,5,4,5,5,5,5,5,4,5,4,5,5,3,5,4,5,4,4,4,5,3,3,4,2,5,2,3,3,4,2,3,2,2,2,3,2,1,2,4,2,5,5,5,1,4,4,4,4,4,2,2,5,5,4,5,4,4,4,2,3,4,4,3,2,5,4,5,5,4,2
"A396",5,1.95714285714286,3,4,1,1,4,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,4,1,2,2,1,1,1,1,1,1,4,2,1,1,1,2,1,5,2,1,1,2,1,3,4,4,3,1,1,2,3,1,1,4,2,4,3,1,5,3,3,4,1,3,1,1,4
"A414",5,4.84285714285714,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,3,5,5,5,5,5,5,5
"A419",5,3.91428571428571,4,5,5,5,5,4,5,5,5,5,4,5,5,5,4,4,4,3,4,4,3,5,5,4,5,3,5,2,5,4,3,2,3,3,4,1,4,2,2,4,5,5,4,2,5,4,5,5,5,3,2,5,4,4,1,4,2,3,3,5,3,3,5,5,5,2,5,5,4,2
"A420",5,4.51428571428571,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,3,5,5,1,5,5,5,5,5,5,3,5,5,4,5,3,2,5,2,2,2,5,4,5,5,5,2,5,5,5,5,5,4,2,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
"A423",5,2.88571428571429,5,4,5,4,5,5,4,2,1,2,4,3,2,3,2,2,1,2,3,5,1,2,4,5,5,4,5,1,3,3,1,2,1,1,2,1,4,1,1,1,5,4,5,1,5,5,3,2,2,2,1,4,1,2,1,5,2,5,4,5,1,1,5,5,4,1,2,2,4,1
"A431",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A433",4,2.64285714285714,3,4,2,5,5,2,5,5,5,5,5,5,1,2,2,5,2,2,5,1,1,5,5,3,5,1,2,3,5,1,2,1,1,2,2,2,2,2,2,1,5,3,1,1,2,1,1,1,3,1,2,5,1,1,1,1,2,5,3,2,1,5,2,3,5,1,3,1,1,2
"A438",5,3.65714285714286,5,5,5,4,5,5,3,3,4,5,5,5,5,5,5,5,2,5,5,5,2,5,3,5,5,3,4,5,5,5,5,1,1,2,3,2,2,5,1,3,3,5,3,4,2,2,1,4,2,1,4,3,3,1,2,4,5,4,2,1,5,5,3,4,3,3,5,5,4,5
