"workerID","rate_iceCream","mean","iceCream01","iceCream02","iceCream03","iceCream04","iceCream05","iceCream06","iceCream07","iceCream08","iceCream09","iceCream10","iceCream11","iceCream12","iceCream13","iceCream14","iceCream15","iceCream16","iceCream17","iceCream18","iceCream19","iceCream20","iceCream21","iceCream22","iceCream23","iceCream24","iceCream25","iceCream26","iceCream27","iceCream28","iceCream29","iceCream30","iceCream31","iceCream32","iceCream33","iceCream34","iceCream35","iceCream36","iceCream37","iceCream38","iceCream39","iceCream40","iceCream41","iceCream42","iceCream43","iceCream44","iceCream45","iceCream46","iceCream47","iceCream48","iceCream49","iceCream50","iceCream51","iceCream52","iceCream53","iceCream54","iceCream55","iceCream56","iceCream57","iceCream58","iceCream59","iceCream60","iceCream61","iceCream62","iceCream63","iceCream64","iceCream65"
"A23",5,4.12307692307692,5,3,5,4,5,4,4,4,4,5,5,5,5,3,5,5,4,5,4,3,5,5,5,5,4,5,4,5,5,4,5,5,1,2,4,4,1,5,4,3,2,4,5,5,4,3,1,3,5,3,4,4,5,5,1,5,5,5,5,4,4,4,5,4,5
"A31",5,4.53846153846154,4,4,5,5,5,4,5,4,5,5,5,4,5,4,4,5,2,5,5,3,5,4,5,5,5,5,5,5,4,5,3,5,5,3,3,5,5,4,3,5,5,5,4,5,4,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5
"A48",5,4.10769230769231,5,4,5,2,4,4,5,3,5,5,2,2,5,5,5,3,3,4,4,4,2,4,5,5,5,3,5,5,2,3,4,3,5,4,3,5,5,5,2,4,4,4,2,5,5,5,2,5,5,4,5,5,5,5,4,5,4,5,4,5,5,4,2,5,5
"A90",5,4.52307692307692,4,5,4,5,5,3,5,4,5,5,5,5,4,5,4,4,2,5,5,5,4,4,4,4,3,5,4,5,5,4,4,5,5,3,5,5,4,5,4,5,5,5,4,5,5,5,3,5,5,4,5,5,4,5,5,5,5,4,5,5,5,5,4,5,5
"A103",5,3.81538461538462,3,5,5,5,5,4,5,4,3,4,4,4,5,5,3,3,2,4,1,4,4,5,3,4,4,5,4,3,3,5,4,5,2,4,4,4,4,4,3,4,5,4,4,4,2,2,4,2,5,5,2,3,4,4,2,4,5,5,5,3,4,3,3,4,4
"A122",5,4.30769230769231,5,4,5,4,5,4,4,4,5,5,5,4,5,5,5,4,2,4,4,4,4,4,4,5,5,4,4,4,5,5,4,5,4,3,4,3,3,5,3,4,5,4,5,5,4,5,3,4,4,5,4,5,4,5,3,5,5,5,5,4,5,5,4,4,4
"A138",5,4.03076923076923,4,3,5,5,5,2,4,5,4,3,5,2,5,5,4,5,5,2,5,4,2,4,4,5,2,3,3,5,4,5,3,3,3,2,5,3,2,2,4,2,5,5,4,5,5,4,4,5,5,1,5,3,4,5,5,5,5,5,5,5,4,5,5,5,5
"A175",5,4.55384615384615,5,3,5,5,5,3,3,4,5,5,5,4,5,4,4,5,4,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,4,3,4,4,3,4,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,4
"A190",5,3.21538461538462,4,3,4,3,5,3,1,1,4,5,1,3,1,5,3,1,1,3,5,3,3,3,3,1,5,3,5,3,1,4,3,3,5,1,1,5,1,1,3,1,1,5,3,3,5,5,4,3,5,5,5,3,1,5,5,4,5,5,3,5,3,1,1,5,5
"A197",5,2.73846153846154,2,3,2,2,3,1,1,1,4,5,2,1,4,3,2,4,1,3,2,3,1,1,2,4,3,3,3,4,3,1,3,2,1,2,1,3,3,2,1,2,4,3,2,4,1,3,1,3,5,2,3,4,5,5,2,3,4,3,4,5,2,5,3,3,5
"A204",5,3.09230769230769,4,1,4,3,5,1,3,1,4,2,5,1,4,3,4,4,1,2,1,1,1,1,5,3,5,2,5,5,2,4,1,1,1,1,1,5,1,3,1,2,4,5,1,5,3,4,3,4,3,4,4,5,3,4,5,4,2,3,5,5,4,4,5,5,3
"A207",5,4.04615384615385,4,4,4,3,3,5,5,5,4,4,5,2,4,4,2,5,5,2,5,3,3,5,5,3,5,3,5,5,2,3,3,3,2,2,5,4,3,2,4,4,4,4,4,4,5,5,5,5,5,2,5,5,4,5,4,4,5,5,5,5,5,5,4,5,5
"A239",5,3.29230769230769,2,3,3,3,4,4,5,3,4,3,3,2,4,4,2,3,2,4,3,2,5,5,3,2,4,5,3,4,1,4,4,4,4,1,1,3,1,2,2,3,3,5,2,4,3,3,2,3,5,5,3,4,5,2,2,4,3,3,4,5,4,4,5,4,3
"A254",5,1.73846153846154,4,5,1,1,1,5,1,1,3,1,1,1,2,1,5,1,1,5,1,1,1,3,1,1,1,1,4,1,1,1,5,1,1,1,1,1,1,1,1,1,3,1,4,1,3,1,1,3,1,1,4,1,2,1,1,3,1,1,1,1,1,2,1,1,2
"A263",5,2.18461538461538,1,5,1,3,5,1,3,5,1,1,1,1,5,3,3,1,5,3,1,3,3,3,5,5,3,1,4,1,3,1,1,1,1,2,1,1,3,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,3,3,3,1,1,1,3,1,1,1,4,5
"A284",5,3.15384615384615,4,3,2,3,3,1,1,3,1,4,3,4,5,4,5,3,2,5,3,1,2,5,3,3,4,1,5,4,2,1,1,5,3,1,1,4,1,1,1,1,3,5,1,5,3,3,2,5,5,5,3,4,4,5,1,5,5,4,5,5,2,3,3,5,5
"A291",5,4.29230769230769,5,4,5,4,4,4,4,4,4,5,5,5,5,4,5,4,4,3,4,4,4,5,4,5,4,4,5,5,4,5,4,5,4,5,5,5,5,5,4,5,3,4,5,5,4,4,4,4,3,4,3,5,5,4,3,4,5,4,4,3,5,4,5,3,4
"A294",5,3.06153846153846,5,4,3,2,3,4,3,4,3,3,2,2,3,3,4,4,4,2,3,4,2,4,2,2,3,3,4,5,4,2,2,2,2,2,2,3,1,2,2,5,2,2,5,2,3,3,3,2,5,2,3,4,2,3,4,2,3,4,4,4,4,4,3,4,3
"A309",5,3.67692307692308,3,4,3,4,4,3,3,3,2,4,3,2,3,5,3,3,5,4,4,2,4,4,4,2,4,4,4,5,2,2,1,1,1,5,5,5,2,2,4,2,4,4,2,4,5,5,4,5,5,4,5,4,2,5,5,5,5,5,5,5,3,4,5,4,5
"A312",5,2.46153846153846,3,3,3,1,2,2,3,2,3,5,2,1,2,4,2,1,2,1,5,5,1,1,3,2,4,1,3,3,1,3,1,1,1,2,1,1,2,2,2,1,2,3,3,3,3,3,2,2,4,2,3,2,3,3,3,3,3,2,2,4,4,2,3,4,4
"A345",5,3.24615384615385,5,3,2,2,4,5,5,2,4,3,3,4,5,2,3,3,2,2,5,4,4,2,5,2,3,5,3,5,3,3,1,3,2,1,1,2,1,1,3,5,2,5,1,3,5,5,2,2,2,2,2,5,5,3,5,1,3,5,3,4,5,5,5,3,5
"A354",5,3.95384615384615,5,2,4,5,4,3,3,3,5,5,3,4,3,5,4,4,3,4,3,5,4,4,3,3,4,4,4,5,3,3,1,4,4,3,5,5,4,4,2,4,5,5,4,5,3,3,4,3,5,4,4,4,3,5,5,5,4,5,5,5,4,4,3,5,5
"A364",5,3.46153846153846,4,2,4,5,4,3,2,4,2,5,3,5,1,5,2,2,4,4,5,5,5,2,5,3,4,2,3,4,1,4,2,4,1,1,1,5,2,1,1,2,5,5,4,5,3,3,2,5,5,4,5,4,2,5,5,3,5,5,5,5,2,4,1,4,5
"A369",5,4.04615384615385,3,4,3,3,5,4,5,5,5,4,4,2,5,4,5,5,4,5,4,3,3,3,3,4,5,4,5,5,4,3,1,3,2,2,4,5,2,3,3,1,5,5,5,5,5,5,3,5,5,4,5,4,5,5,3,4,5,5,4,5,5,5,4,5,5
"A378",5,3.8,5,5,4,4,4,3,3,4,4,4,3,3,5,3,4,4,4,4,4,3,3,3,4,5,4,4,4,4,4,3,3,4,2,2,2,3,3,3,3,4,4,5,4,5,4,4,3,4,3,2,5,5,5,5,4,3,4,4,5,5,4,4,3,5,4
"A380",5,4.78461538461538,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,5,5,5,5,5,5,1,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"A384",5,4.27692307692308,5,2,5,5,5,4,2,4,5,5,5,2,5,5,5,5,5,4,5,4,2,5,4,2,2,5,5,4,5,5,5,2,3,2,2,5,2,3,4,4,5,5,5,5,3,5,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5
"A387",5,3.58461538461538,3,5,3,5,5,3,5,5,4,3,2,5,5,5,5,4,4,5,1,4,3,2,3,5,5,3,4,5,3,5,2,5,2,4,3,5,1,1,1,1,5,5,4,3,1,1,4,1,5,5,1,4,3,5,1,5,3,1,5,5,2,5,5,5,5
