"image","mean","sd","n"
"cheese01",4.2962962962963,0.912090363894297,27
"cheese02",4.22222222222222,1.05003052458683,27
"cheese03",4.33333333333333,0.9198662110078,27
"cheese04",3.88888888888889,1.2810252304407,27
"cheese05",3.96296296296296,1.37229402213625,27
"cheese06",4.18518518518519,0.878680699731007,27
"cheese07",4.2962962962963,0.992851945536184,27
"cheese08",4.25925925925926,1.02253804114275,27
"cheese09",4.33333333333333,1,27
"cheese10",4.44444444444444,0.577350269189626,27
"cheese11",4.07407407407407,1.10682935679861,27
"cheese12",4.25925925925926,0.90267093384844,27
"cheese13",3.81481481481481,1.07549763211973,27
"cheese14",3.74074074074074,1.31829121892385,27
"cheese15",3.22222222222222,1.52752523165195,27
"cheese16",4.66666666666667,0.679366220486757,27
"cheese17",4.40740740740741,0.636049058295352,27
"cheese18",4.37037037037037,1.14851570258674,27
"cheese19",4.33333333333333,0.832050294337844,27
"cheese20",4.03703703703704,1.09127594625887,27
"cheese21",4.18518518518519,1.03912082058444,27
"cheese22",3.7037037037037,1.26536145078772,27
"cheese23",4.14814814814815,1.06351028723475,27
"cheese24",3.92592592592593,1.23804827561914,27
"cheese25",4.37037037037037,0.687702314184323,27
"cheese26",4.66666666666667,0.554700196225229,27
"cheese27",4.2962962962963,0.775331929653101,27
"cheese28",4.03703703703704,1.12596903501218,27
"cheese29",3.92592592592593,1.14104964922404,27
"cheese30",4.51851851851852,0.752961862879899,27
"cheese31",4.44444444444444,0.697982440452113,27
"cheese32",4.33333333333333,0.784464540552736,27
"cheese33",4.37037037037037,0.629294363562392,27
"cheese34",4.22222222222222,0.847318545736323,27
"cheese35",4.40740740740741,0.888354540244935,27
"cheese36",4,0.877058019307029,27
"cheese37",4.55555555555556,0.800640769025436,27
"cheese38",3.74074074074074,1.34715062810913,27
"cheese39",3.62962962962963,1.39085331163029,27
"cheese40",3.40740740740741,1.33760001090527,27
"cheese41",4.25925925925926,0.90267093384844,27
"cheese42",4.03703703703704,1.31504552367769,27
"cheese43",4.22222222222222,1.12089707663561,27
"cheese44",3.74074074074074,1.19590945735847,27
"cheese45",3.88888888888889,1.36813554584145,27
"cheese46",3.92592592592593,1.17427312790397,27
"cheese47",4.33333333333333,0.877058019307029,27
"cheese48",3.59259259259259,1.42124699469973,27
"cheese49",3.77777777777778,1.18754217199071,27
"cheese50",3.96296296296296,1.09127594625887,27
"cheese51",3.66666666666667,1.38675049056307,27
"cheese52",3.85185185185185,1.09908016449084,27
"cheese53",4.40740740740741,0.797074422703197,27
"cheese54",4.14814814814815,1.02670884584241,27
"cheese55",4.37037037037037,0.791694781327139,27
"cheese56",4.33333333333333,1.1766968108291,27
"cheese57",3.40740740740741,1.52565898143567,27
"cheese58",4.33333333333333,0.9198662110078,27
"cheese59",3.88888888888889,1.25064086135971,27
"cheese60",3.96296296296296,1.53125090848278,27
